"Name of the Programme","Venue","State","Name of the Troupe Leader","Expenditure","Latitude","Longitude"
"Sathaya Vizha 2015","Thanjavur, Tamilnadu","Tamil Nadu","Smt.A.B.Bala Kondala Rao","25000","10.7905","78.7047"
"Mahamagam kalai vizha 2016","Kumbakonam","Tamil Nadu","K.V.Sathyaranayana","125000","10.9650","79.3700"
"Ayyarappar Natyanjali 2016","Thiruvaiyaru Tamil Nadu","Tamil Nadu","Ms.Achuta Manasa","20000","10.7905","78.7047"
"Brahan Natyanjali 2016","Thanjavur, Tamil Nadu","Tamil Nadu","Ms.Sowmya & Rekha","10000","10.7905","78.7047"
"Navarathri Music and Dance Festival 2015","Vishakapatnam","Andhra Pradesh","Sh.V. Radhe Shyam","65238","17.6868","83.2185"
"111th Anniversary Celebrations of Young Men Hindu Association","Eluru","Andhra Pradesh","V.V.M. Chalapathi Rao","35000","16.7061","81.1030"
"Dasara Festival","Shilparamam Hyderabad","Telangana","Smt. B. Swarnalatha","27368","17.3850","78.4867"
"Swathi Thirunal Dance Festival 2015","Irinjalakuda","Kerala","Ms.B.Swarna Latha","50000","10.3600","76.3000"
"Cultural Programme at IMG, TVM","Barton Hill, Thiruvananthapuram","Kerala","Smt. D. Sathyapriya","50202","8.5241","76.9495"
"Summer Festival 2016","HADP Open Air Stadium, Ooty, Tamil Nadu","Tamil Nadu","Ms. Sneha Sasikumar","75400","11.4092","76.6952"
"Independence Day Reception at Raj Bhavan","Raj Bhavan, Chennai","Tamil Nadu","Ms. Sathyapriya Ramana","25000","13.0674","80.2785"
"Navarathiri Festival","Big Temple, Thanjavur","Tamil Nadu","Dr. Madhavi Namboothiri","20000","10.7905","78.7047"
"Iyyarappar Natyanjali 2017","Iyyarappar Temple Thiruvolakka Mandapam, Tiruvaiyaru","Tamil Nadu","Smt. Rekha Sathish, Bengaluru","10000","10.7905","78.7047"
"National Cultural Festival - 2016","Mahathi Indoor Auditorium, Tirupathi","Andhra Pradesh","Ms. Mathurima Narla","27482","13.6288","79.4192"
"Navarathiri Festival","Srisailam","Andhra Pradesh","Dr. Chinta Ravi Balakrishna","47546","16.0670","78.8170"
"Mysore Dasara Festival 2016","Mysore, Karnataka","Karnataka","Sh.B.Venkata Rama Sarma","30000","12.2958","76.6393"
"Navarathiri kalai vizha 2017","Sri Sailam, Andhra Pradesh","Andhra Pradesh","Smt.R.Madhurima Narla","45610","16.0670","78.8170"
"National Dance and Music festival 2017","Nellore, Andhra Pradesh","Andhra Pradesh","Ms. Sathyapriya Ramana","51959","14.4422","79.9860"
"Fete - de- Puducherry 2017","Yanam, Puducherry","Puducherry","Gandhi Hymavathi","10000","16.7333","82.2167"
"Navarathri Festival 2017","Payyanur, Kerala","Kerala","Ms.Madhurima Narla","26450","11.9990","75.1000"